filter,source_rate_hz,output_rate_hz,frequency_hz,magnitude_db,absolute_group_delay_ms,group_delay_relative_to_peak_ms
SplitPhase128kE2v3,44100,176400,9400.000,-0.00000008,2972.22906194,-0.01016708
SplitPhase128kE2v3,44100,176400,9500.000,-0.00000008,2972.22940540,-0.00982362
SplitPhase128kE2v3,44100,176400,9600.000,-0.00000008,2972.22976076,-0.00946826
SplitPhase128kE2v3,44100,176400,9700.000,-0.00000008,2972.23012779,-0.00910123
SplitPhase128kE2v3,44100,176400,9800.000,-0.00000008,2972.23050625,-0.00872278
SplitPhase128kE2v3,44100,176400,9900.000,-0.00000008,2972.23089714,-0.00833189
SplitPhase128kE2v3,44100,176400,10000.000,-0.00000008,2972.23130097,-0.00792806
SplitPhase128kE2v3,44100,176400,10100.000,-0.00000008,2972.23171907,-0.00750996
SplitPhase128kE2v3,44100,176400,10200.000,-0.00000008,2972.23215335,-0.00707568
SplitPhase128kE2v3,44100,176400,10300.000,-0.00000008,2972.23260618,-0.00662284
SplitPhase128kE2v3,44100,176400,10400.000,-0.00000008,2972.23308035,-0.00614867
SplitPhase128kE2v3,44100,176400,10500.000,-0.00000008,2972.23357835,-0.00565067
SplitPhase128kE2v3,44100,176400,10600.000,-0.00000008,2972.23410368,-0.00512534
SplitPhase128kE2v3,44100,176400,10700.000,-0.00000008,2972.23465831,-0.00457071
SplitPhase128kE2v3,44100,176400,10800.000,-0.00000008,2972.23524402,-0.00398500
SplitPhase128kE2v3,44100,176400,10900.000,-0.00000008,2972.23586198,-0.00336704
SplitPhase128kE2v3,44100,176400,11000.000,-0.00000008,2972.23651244,-0.00271659
SplitPhase128kE2v3,44100,176400,11100.000,-0.00000008,2972.23719483,-0.00203420
SplitPhase128kE2v3,44100,176400,11200.000,-0.00000008,2972.23790784,-0.00132119
SplitPhase128kE2v3,44100,176400,11300.000,-0.00000008,2972.23864949,-0.00057954
SplitPhase128kE2v3,44100,176400,11400.000,-0.00000008,2972.23942036,0.00019133
SplitPhase128kE2v3,44100,176400,11500.000,-0.00000008,2972.24022039,0.00099137
SplitPhase128kE2v3,44100,176400,11600.000,-0.00000008,2972.24105204,0.00182301
SplitPhase128kE2v3,44100,176400,11700.000,-0.00000008,2972.24191985,0.00269082
SplitPhase128kE2v3,44100,176400,11800.000,-0.00000008,2972.24283104,0.00360201
SplitPhase128kE2v3,44100,176400,11900.000,-0.00000008,2972.24379579,0.00456677
SplitPhase128kE2v3,44100,176400,12000.000,-0.00000008,2972.24482657,0.00559754
SplitPhase128kE2v3,44100,176400,12100.000,-0.00000008,2972.24594132,0.00671230
